"PVWatts Hourly PV Performance Data"
"Requested Location","London"
"Location","Lat, Lng: 51.49, -0.14"
"Latitude (DD)","51.49"
"Longitude (DD)","-0.14"
"Elevation (m)","11"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","4.4","3.3","0.2","0","4.4","0","0"
"1","1","1","0","0","4.8","2.9","0.2","0","4.8","0","0"
"1","1","2","0","0","5.1","2.7","0.2","0","5.1","0","0"
"1","1","3","0","0","5.3","3","0.2","0","5.3","0","0"
"1","1","4","0","0","5.2","3.1","0.2","0","5.2","0","0"
"1","1","5","0","0","5.1","3.2","0.2","0","5.1","0","0"
"1","1","6","0","0","5.1","3.3","0.2","0","5.1","0","0"
"1","1","7","0","0","5.2","3.5","0.2","0","5.2","0","0"
"1","1","8","0","0","5.3","3.9","0.2","0","0","0","0"
"1","1","9","0","10","5.5","4.1","0.2","9.268","5.657","28.766","11.892"
"1","1","10","0","20","5.8","4.4","0.2","18.556","6.104","60.771","42.764"
"1","1","11","0","20","6.2","4.7","0.2","18.558","6.492","60.962","42.947"
"1","1","12","69","155","6.4","4.9","0.2","227.058","9.892","812.903","768.244"
"1","1","13","19","131","6.5","4.8","0.2","158.307","8.961","558.86","523.203"
"1","1","14","24","97","6.1","4.4","0.2","127.691","8.182","439.446","408.02"
"1","1","15","0","7","5.7","4.2","0.2","6.488","5.792","12.488","0"
"1","1","16","0","0","5.4","3.8","0.2","0","5.4","0","0"
"1","1","17","0","0","5.2","3.5","0.2","0","5.2","0","0"
"1","1","18","0","0","5.1","3.2","0.2","0","5.1","0","0"
"1","1","19","0","0","5.1","3","0.2","0","5.1","0","0"
"1","1","20","0","0","5","2.8","0.2","0","5","0","0"
"1","1","21","0","0","5","2.7","0.2","0","5","0","0"
"1","1","22","0","0","5","2.5","0.2","0","5","0","0"
"1","1","23","0","0","5","2.5","0.2","0","5","0","0"
"1","2","0","0","0","5.1","2.5","0.2","0","5.1","0","0"
"1","2","1","0","0","5.2","2.5","0.2","0","5.2","0","0"
"1","2","2","0","0","5.2","2.5","0.2","0","5.2","0","0"
"1","2","3","0","0","5.1","2.4","0.2","0","5.1","0","0"
"1","2","4","0","0","5","2.3","0.2","0","5","0","0"
"1","2","5","0","0","4.8","2.1","0.2","0","4.8","0","0"
"1","2","6","0","0","4.6","1.9","0.2","0","4.6","0","0"
"1","2","7","0","0","4.3","1.6","0.2","0","4.3","0","0"
"1","2","8","0","0","4.5","1.5","0.2","0","0","0","0"
"1","2","9","439","36","5.4","1.8","0.2","218.674","10.898","746.936","704.614"
